batch_idx:116, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4254, entropy: 4.2875
batch_idx:117, episode_len:25.0, tie: 0, black: 0, white: 0, loss: 4.2824, entropy: 4.2443
batch_idx:118, episode_len:25.0, tie: 0, black: 0, white: 0, loss: 4.3401, entropy: 4.3067
batch_idx:119, episode_len:25.0, tie: 0, black: 0, white: 0, loss: 4.2881, entropy: 4.2507
batch_idx:120, episode_len:97.0, tie: 0, black: 0, white: 0, loss: 4.4658, entropy: 4.2619
batch_idx:121, episode_len:47.0, tie: 0, black: 0, white: 0, loss: 4.2486, entropy: 4.2966
batch_idx:122, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3249, entropy: 4.2010
batch_idx:123, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2306, entropy: 4.1157
batch_idx:124, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4109, entropy: 4.2200
batch_idx:125, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2804, entropy: 4.2588
batch_idx:126, episode_len:47.0, tie: 0, black: 0, white: 0, loss: 4.2438, entropy: 4.3519
batch_idx:127, episode_len:47.0, tie: 0, black: 0, white: 0, loss: 4.2661, entropy: 4.3728
batch_idx:128, episode_len:56.0, tie: 0, black: 0, white: 0, loss: 4.2289, entropy: 4.2424
batch_idx:129, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2604, entropy: 4.1547
batch_idx:130, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2499, entropy: 4.2134
batch_idx:131, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2917, entropy: 4.2106
batch_idx:132, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2364, entropy: 4.2748
batch_idx:133, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3057, entropy: 4.3407
batch_idx:134, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2973, entropy: 4.3766
batch_idx:135, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2849, entropy: 4.3737
batch_idx:136, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2250, entropy: 4.3377
batch_idx:137, episode_len:66.0, tie: 0, black: 0, white: 0, loss: 4.3366, entropy: 4.2839
batch_idx:138, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.2896, entropy: 4.2562
batch_idx:139, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.1895, entropy: 4.1367
batch_idx:140, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0945, entropy: 3.9972
batch_idx:141, episode_len:24.0, tie: 0, black: 0, white: 0, loss: 4.1271, entropy: 4.0892
batch_idx:142, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.1907, entropy: 4.1796
batch_idx:143, episode_len:51.0, tie: 0, black: 0, white: 0, loss: 4.1963, entropy: 4.1280
batch_idx:144, episode_len:51.0, tie: 0, black: 0, white: 0, loss: 4.2016, entropy: 4.1771
batch_idx:145, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2370, entropy: 4.1197
batch_idx:146, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2042, entropy: 4.1372
batch_idx:147, episode_len:95.0, tie: 0, black: 0, white: 0, loss: 4.3558, entropy: 4.1427
batch_idx:148, episode_len:72.0, tie: 0, black: 0, white: 0, loss: 4.2674, entropy: 4.1896
batch_idx:149, episode_len:59.0, tie: 0, black: 0, white: 0, loss: 4.2494, entropy: 4.0671
batch_idx:150, episode_len:51.0, tie: 0, black: 0, white: 0, loss: 4.1781, entropy: 4.0544
batch_idx:151, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2753, entropy: 4.0542
batch_idx:152, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4233, entropy: 4.1773
batch_idx:153, episode_len:35.0, tie: 0, black: 0, white: 0, loss: 4.1854, entropy: 4.1030
batch_idx:154, episode_len:35.0, tie: 0, black: 0, white: 0, loss: 4.2611, entropy: 4.1440
batch_idx:155, episode_len:117.0, tie: 0, black: 0, white: 0, loss: 4.2234, entropy: 4.1247
batch_idx:156, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.1675, entropy: 4.1295
batch_idx:157, episode_len:88.0, tie: 0, black: 0, white: 0, loss: 4.2914, entropy: 4.0596
batch_idx:158, episode_len:85.0, tie: 0, black: 0, white: 0, loss: 4.1435, entropy: 3.9678
batch_idx:159, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3227, entropy: 4.1236
batch_idx:160, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2358, entropy: 4.1138
batch_idx:161, episode_len:30.0, tie: 0, black: 0, white: 0, loss: 4.0535, entropy: 4.0865
batch_idx:162, episode_len:30.0, tie: 0, black: 0, white: 0, loss: 4.0929, entropy: 3.9571
batch_idx:163, episode_len:30.0, tie: 0, black: 0, white: 0, loss: 3.9547, entropy: 3.9022
batch_idx:164, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0965, entropy: 4.0288
batch_idx:165, episode_len:42.0, tie: 0, black: 0, white: 0, loss: 4.0945, entropy: 3.9930
batch_idx:166, episode_len:42.0, tie: 0, black: 0, white: 0, loss: 3.9612, entropy: 4.0211
batch_idx:167, episode_len:26.0, tie: 0, black: 0, white: 0, loss: 4.0110, entropy: 3.9964
batch_idx:168, episode_len:26.0, tie: 0, black: 0, white: 0, loss: 3.9033, entropy: 3.9026
batch_idx:169, episode_len:35.0, tie: 0, black: 0, white: 0, loss: 3.8817, entropy: 3.8431
batch_idx:170, episode_len:35.0, tie: 0, black: 0, white: 0, loss: 3.9014, entropy: 3.8606
batch_idx:171, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0578, entropy: 3.9368
batch_idx:172, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0874, entropy: 4.0269
batch_idx:173, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2028, entropy: 4.1345
batch_idx:174, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 4.0747, entropy: 3.9835
batch_idx:175, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 4.0580, entropy: 3.9952
batch_idx:176, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 4.0356, entropy: 3.9511
batch_idx:177, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 3.9229, entropy: 4.0269
batch_idx:178, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.1573, entropy: 4.1259
batch_idx:179, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.1451, entropy: 4.2494
batch_idx:180, episode_len:75.0, tie: 0, black: 0, white: 0, loss: 4.0705, entropy: 4.0757
batch_idx:181, episode_len:74.0, tie: 0, black: 0, white: 0, loss: 3.9450, entropy: 4.0295
batch_idx:182, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0245, entropy: 3.9766
batch_idx:183, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0443, entropy: 4.0687
batch_idx:184, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 3.9770, entropy: 4.0519
batch_idx:185, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0557, entropy: 4.0429
batch_idx:186, episode_len:54.0, tie: 0, black: 0, white: 0, loss: 3.9984, entropy: 4.0311
batch_idx:187, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.0148, entropy: 4.1153
batch_idx:188, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 3.9299, entropy: 4.0299
batch_idx:189, episode_len:51.0, tie: 0, black: 0, white: 0, loss: 3.9660, entropy: 3.9465
batch_idx:190, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 3.9191, entropy: 3.9979
batch_idx:191, episode_len:72.0, tie: 0, black: 0, white: 0, loss: 3.9654, entropy: 3.9728
batch_idx:192, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 3.8793, entropy: 3.8994
batch_idx:193, episode_len:94.0, tie: 0, black: 0, white: 0, loss: 3.8791, entropy: 3.9199
batch_idx:194, episode_len:80.0, tie: 0, black: 0, white: 0, loss: 4.0980, entropy: 3.9377
batch_idx:195, episode_len:96.0, tie: 0, black: 0, white: 0, loss: 3.9559, entropy: 3.9273
batch_idx:196, episode_len:36.0, tie: 0, black: 0, white: 0, loss: 3.8822, entropy: 3.8780
batch_idx:197, episode_len:36.0, tie: 0, black: 0, white: 0, loss: 3.7712, entropy: 3.7895
batch_idx:198, episode_len:63.0, tie: 0, black: 0, white: 0, loss: 3.8748, entropy: 3.6744
batch_idx:199, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 3.9809, entropy: 3.8712
batch_idx:200, episode_len:44.0, tie: 0, black: 0, white: 0, loss: 3.7728, entropy: 3.8317
batch_idx:1, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8703, entropy: 5.3641
batch_idx:2, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9279, entropy: 5.2258
batch_idx:3, episode_len:112.0, tie: 0, black: 0, white: 0, loss: 5.1202, entropy: 5.1935
batch_idx:4, episode_len:23.0, tie: 0, black: 0, white: 0, loss: 5.0685, entropy: 5.1534
batch_idx:5, episode_len:23.0, tie: 0, black: 0, white: 0, loss: 4.9597, entropy: 5.0793
batch_idx:6, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9037, entropy: 5.0273
batch_idx:7, episode_len:89.0, tie: 0, black: 0, white: 0, loss: 4.8373, entropy: 4.9151
batch_idx:8, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7364, entropy: 4.8560
batch_idx:9, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8538, entropy: 4.9194
batch_idx:10, episode_len:61.0, tie: 0, black: 0, white: 0, loss: 4.7558, entropy: 4.8473
batch_idx:11, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8160, entropy: 4.9264
batch_idx:12, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8056, entropy: 4.9318
batch_idx:13, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8707, entropy: 5.0249
batch_idx:14, episode_len:24.0, tie: 0, black: 0, white: 0, loss: 4.9654, entropy: 4.9512
batch_idx:15, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9198, entropy: 5.0587
batch_idx:16, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8315, entropy: 4.9696
batch_idx:17, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8571, entropy: 4.9258
batch_idx:18, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8648, entropy: 4.9984
batch_idx:19, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8079, entropy: 4.9603
batch_idx:20, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8428, entropy: 4.9261
batch_idx:21, episode_len:87.0, tie: 0, black: 0, white: 0, loss: 4.8675, entropy: 4.9853
batch_idx:22, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8950, entropy: 4.9622
batch_idx:23, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8882, entropy: 4.9668
batch_idx:24, episode_len:94.0, tie: 0, black: 0, white: 0, loss: 4.8835, entropy: 4.9215
batch_idx:25, episode_len:23.0, tie: 0, black: 0, white: 0, loss: 4.8336, entropy: 4.7973
batch_idx:26, episode_len:23.0, tie: 0, black: 0, white: 0, loss: 4.7761, entropy: 4.7651
batch_idx:27, episode_len:23.0, tie: 0, black: 0, white: 0, loss: 4.6863, entropy: 4.5387
batch_idx:28, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7531, entropy: 4.7247
batch_idx:29, episode_len:69.0, tie: 0, black: 0, white: 0, loss: 4.6812, entropy: 4.6774
batch_idx:30, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5752, entropy: 4.6073
batch_idx:31, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5942, entropy: 4.6507
batch_idx:32, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4992, entropy: 4.6334
batch_idx:33, episode_len:58.0, tie: 0, black: 0, white: 0, loss: 4.4836, entropy: 4.4937
batch_idx:34, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4389, entropy: 4.5172
batch_idx:35, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5098, entropy: 4.5828
batch_idx:36, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5097, entropy: 4.6272
batch_idx:37, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4374, entropy: 4.5824
batch_idx:38, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5611, entropy: 4.6820
batch_idx:39, episode_len:69.0, tie: 0, black: 0, white: 0, loss: 4.5207, entropy: 4.5901
batch_idx:40, episode_len:19.0, tie: 0, black: 0, white: 0, loss: 4.4656, entropy: 4.5618
batch_idx:41, episode_len:19.0, tie: 0, black: 0, white: 0, loss: 4.3588, entropy: 4.4729
batch_idx:42, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4134, entropy: 4.4310
batch_idx:43, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3451, entropy: 4.3927
batch_idx:44, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3802, entropy: 4.4573
batch_idx:45, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2022, entropy: 4.2289
batch_idx:46, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3950, entropy: 4.4975
batch_idx:47, episode_len:43.0, tie: 0, black: 0, white: 0, loss: 4.4206, entropy: 4.5619
batch_idx:48, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3644, entropy: 4.4654
batch_idx:49, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3516, entropy: 4.4880
batch_idx:50, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3788, entropy: 4.4435
batch_idx:51, episode_len:57.0, tie: 0, black: 0, white: 0, loss: 4.4147, entropy: 4.5103
batch_idx:52, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3941, entropy: 4.5003
batch_idx:53, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3784, entropy: 4.4439
batch_idx:54, episode_len:46.0, tie: 0, black: 0, white: 0, loss: 4.2785, entropy: 4.3064
batch_idx:55, episode_len:46.0, tie: 0, black: 0, white: 0, loss: 4.3741, entropy: 4.3729
batch_idx:56, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4511, entropy: 4.4130
batch_idx:57, episode_len:38.0, tie: 0, black: 0, white: 0, loss: 4.3101, entropy: 4.3044
batch_idx:58, episode_len:37.0, tie: 0, black: 0, white: 0, loss: 4.3676, entropy: 4.1596
batch_idx:59, episode_len:37.0, tie: 0, black: 0, white: 0, loss: 4.2396, entropy: 4.2390
batch_idx:60, episode_len:83.0, tie: 0, black: 0, white: 0, loss: 4.3432, entropy: 4.2288
batch_idx:61, episode_len:48.0, tie: 0, black: 0, white: 0, loss: 4.2060, entropy: 4.0175
batch_idx:62, episode_len:94.0, tie: 0, black: 0, white: 0, loss: 4.1267, entropy: 3.9632
batch_idx:63, episode_len:132.0, tie: 0, black: 0, white: 0, loss: 4.1982, entropy: 3.8860
batch_idx:64, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2948, entropy: 3.9404
batch_idx:65, episode_len:72.0, tie: 0, black: 0, white: 0, loss: 4.0251, entropy: 3.7516
